date,municipio,geo_code,geo_level,dormidas
2020-01-01,Alcochete,1701502,Município,1999
2020-02-01,Alcochete,1701502,Município,2530
2020-03-01,Alcochete,1701502,Município,1307
2020-06-01,Alcochete,1701502,Município,861
2020-07-01,Alcochete,1701502,Município,2971
2020-08-01,Alcochete,1701502,Município,4759
2020-09-01,Alcochete,1701502,Município,3417
2020-10-01,Alcochete,1701502,Município,1850
2020-11-01,Alcochete,1701502,Município,1259
2020-12-01,Alcochete,1701502,Município,1923
2021-02-01,Alcochete,1701502,Município,442
2021-03-01,Alcochete,1701502,Município,673
2021-04-01,Alcochete,1701502,Município,1106
2021-05-01,Alcochete,1701502,Município,1483
2021-06-01,Alcochete,1701502,Município,1989
2021-07-01,Alcochete,1701502,Município,2342
2021-08-01,Alcochete,1701502,Município,4630
2021-10-01,Alcochete,1701502,Município,3047
2021-11-01,Alcochete,1701502,Município,2225
2021-12-01,Alcochete,1701502,Município,1755
2022-01-01,Alcochete,1701502,Município,1503
2022-02-01,Alcochete,1701502,Município,2159
2022-03-01,Alcochete,1701502,Município,1955
2022-04-01,Alcochete,1701502,Município,3632
2022-05-01,Alcochete,1701502,Município,3039
2022-06-01,Alcochete,1701502,Município,3839
2022-07-01,Alcochete,1701502,Município,5205
2022-08-01,Alcochete,1701502,Município,6863
2022-09-01,Alcochete,1701502,Município,4049
2022-10-01,Alcochete,1701502,Município,4041
2022-11-01,Alcochete,1701502,Município,2155
2022-12-01,Alcochete,1701502,Município,2509
2023-01-01,Alcochete,1701502,Município,1565
2023-02-01,Alcochete,1701502,Município,1822
2023-03-01,Alcochete,1701502,Município,1990
2023-04-01,Alcochete,1701502,Município,2923
2023-05-01,Alcochete,1701502,Município,3148
2023-06-01,Alcochete,1701502,Município,3511
2023-07-01,Alcochete,1701502,Município,5147
2023-08-01,Alcochete,1701502,Município,9987
2023-09-01,Alcochete,1701502,Município,7745
2024-01-01,Alcochete,1701502,Município,3078
2024-02-01,Alcochete,1701502,Município,3617
2024-03-01,Alcochete,1701502,Município,4499
2024-04-01,Alcochete,1701502,Município,5898
2024-05-01,Alcochete,1701502,Município,7310
2024-06-01,Alcochete,1701502,Município,5982
2024-07-01,Alcochete,1701502,Município,7024
2024-08-01,Alcochete,1701502,Município,11477
2024-09-01,Alcochete,1701502,Município,7567
2024-10-01,Alcochete,1701502,Município,6843
2024-11-01,Alcochete,1701502,Município,4737
2024-12-01,Alcochete,1701502,Município,4432
2025-01-01,Alcochete,1701502,Município,3566
2025-03-01,Alcochete,1701502,Município,4462
2025-04-01,Alcochete,1701502,Município,7479
2025-05-01,Alcochete,1701502,Município,7903
2025-06-01,Alcochete,1701502,Município,8879
2025-07-01,Alcochete,1701502,Município,10472
2025-08-01,Alcochete,1701502,Município,12961
2025-09-01,Alcochete,1701502,Município,8521
2025-10-01,Alcochete,1701502,Município,8508
2025-11-01,Alcochete,1701502,Município,5516
2025-12-01,Alcochete,1701502,Município,4413
2026-01-01,Alcochete,1701502,Município,3654
2026-02-01,Alcochete,1701502,Município,5134
2020-01-01,Almada,1701503,Município,25318
2020-02-01,Almada,1701503,Município,28786
2020-03-01,Almada,1701503,Município,14144
2020-04-01,Almada,1701503,Município,1273
2020-05-01,Almada,1701503,Município,2983
2020-06-01,Almada,1701503,Município,8438
2020-07-01,Almada,1701503,Município,18881
2020-08-01,Almada,1701503,Município,38665
2020-09-01,Almada,1701503,Município,22227
2020-10-01,Almada,1701503,Município,14875
2020-11-01,Almada,1701503,Município,7591
2020-12-01,Almada,1701503,Município,9106
2021-01-01,Almada,1701503,Município,8389
2021-02-01,Almada,1701503,Município,5555
2021-03-01,Almada,1701503,Município,4367
2021-04-01,Almada,1701503,Município,7348
2021-05-01,Almada,1701503,Município,16098
2021-06-01,Almada,1701503,Município,26631
2021-07-01,Almada,1701503,Município,28696
2021-08-01,Almada,1701503,Município,50641
2021-09-01,Almada,1701503,Município,30631
2021-10-01,Almada,1701503,Município,34509
2021-11-01,Almada,1701503,Município,22926
2021-12-01,Almada,1701503,Município,15056
2022-01-01,Almada,1701503,Município,9679
2022-02-01,Almada,1701503,Município,14752
2022-03-01,Almada,1701503,Município,23884
2022-04-01,Almada,1701503,Município,31156
2022-05-01,Almada,1701503,Município,33971
2022-06-01,Almada,1701503,Município,38181
2022-07-01,Almada,1701503,Município,44256
2022-08-01,Almada,1701503,Município,43659
2022-09-01,Almada,1701503,Município,38641
2022-10-01,Almada,1701503,Município,35790
2022-11-01,Almada,1701503,Município,22279
2022-12-01,Almada,1701503,Município,16358
2023-01-01,Almada,1701503,Município,16830
2023-02-01,Almada,1701503,Município,18951
2023-03-01,Almada,1701503,Município,29406
2023-04-01,Almada,1701503,Município,40061
2023-05-01,Almada,1701503,Município,43866
2023-06-01,Almada,1701503,Município,46319
2023-07-01,Almada,1701503,Município,52533
2023-08-01,Almada,1701503,Município,59244
2023-09-01,Almada,1701503,Município,46692
2023-10-01,Almada,1701503,Município,43157
2023-11-01,Almada,1701503,Município,26167
2023-12-01,Almada,1701503,Município,21166
2024-01-01,Almada,1701503,Município,16172
2024-02-01,Almada,1701503,Município,24377
